asset_id,variant,take_id,loop_jump_20x,brightness_spike,browser_autoplay,wow_score_1_10,dynamic_motion_1_10,ai_data_flavor_1_10,notes,weighted_total,eligible
hero-theme-desktop-A,A,01,PASS,PASS,PASS,,,,,=IF(AND(D2="PASS",E2="PASS",F2="PASS"),((G2*0.7)+(H2*0.2)+(I2*0.1))*10,0),=IF(K2>0,"YES","NO")
hero-theme-desktop-A,A,02,PASS,PASS,PASS,,,,,=IF(AND(D3="PASS",E3="PASS",F3="PASS"),((G3*0.7)+(H3*0.2)+(I3*0.1))*10,0),=IF(K3>0,"YES","NO")
hero-theme-desktop-A,A,03,PASS,PASS,PASS,,,,,=IF(AND(D4="PASS",E4="PASS",F4="PASS"),((G4*0.7)+(H4*0.2)+(I4*0.1))*10,0),=IF(K4>0,"YES","NO")
hero-theme-desktop-A,A,04,PASS,PASS,PASS,,,,,=IF(AND(D5="PASS",E5="PASS",F5="PASS"),((G5*0.7)+(H5*0.2)+(I5*0.1))*10,0),=IF(K5>0,"YES","NO")
hero-theme-desktop-A,A,05,PASS,PASS,PASS,,,,,=IF(AND(D6="PASS",E6="PASS",F6="PASS"),((G6*0.7)+(H6*0.2)+(I6*0.1))*10,0),=IF(K6>0,"YES","NO")
hero-theme-desktop-A,A,06,PASS,PASS,PASS,,,,,=IF(AND(D7="PASS",E7="PASS",F7="PASS"),((G7*0.7)+(H7*0.2)+(I7*0.1))*10,0),=IF(K7>0,"YES","NO")
hero-theme-desktop-A,A,07,PASS,PASS,PASS,,,,,=IF(AND(D8="PASS",E8="PASS",F8="PASS"),((G8*0.7)+(H8*0.2)+(I8*0.1))*10,0),=IF(K8>0,"YES","NO")
hero-theme-desktop-A,A,08,PASS,PASS,PASS,,,,,=IF(AND(D9="PASS",E9="PASS",F9="PASS"),((G9*0.7)+(H9*0.2)+(I9*0.1))*10,0),=IF(K9>0,"YES","NO")
hero-theme-desktop-B,B,01,PASS,PASS,PASS,,,,,=IF(AND(D10="PASS",E10="PASS",F10="PASS"),((G10*0.7)+(H10*0.2)+(I10*0.1))*10,0),=IF(K10>0,"YES","NO")
hero-theme-desktop-B,B,02,PASS,PASS,PASS,,,,,=IF(AND(D11="PASS",E11="PASS",F11="PASS"),((G11*0.7)+(H11*0.2)+(I11*0.1))*10,0),=IF(K11>0,"YES","NO")
hero-theme-desktop-B,B,03,PASS,PASS,PASS,,,,,=IF(AND(D12="PASS",E12="PASS",F12="PASS"),((G12*0.7)+(H12*0.2)+(I12*0.1))*10,0),=IF(K12>0,"YES","NO")
hero-theme-desktop-B,B,04,PASS,PASS,PASS,,,,,=IF(AND(D13="PASS",E13="PASS",F13="PASS"),((G13*0.7)+(H13*0.2)+(I13*0.1))*10,0),=IF(K13>0,"YES","NO")
hero-theme-desktop-B,B,05,PASS,PASS,PASS,,,,,=IF(AND(D14="PASS",E14="PASS",F14="PASS"),((G14*0.7)+(H14*0.2)+(I14*0.1))*10,0),=IF(K14>0,"YES","NO")
hero-theme-desktop-B,B,06,PASS,PASS,PASS,,,,,=IF(AND(D15="PASS",E15="PASS",F15="PASS"),((G15*0.7)+(H15*0.2)+(I15*0.1))*10,0),=IF(K15>0,"YES","NO")
hero-theme-desktop-B,B,07,PASS,PASS,PASS,,,,,=IF(AND(D16="PASS",E16="PASS",F16="PASS"),((G16*0.7)+(H16*0.2)+(I16*0.1))*10,0),=IF(K16>0,"YES","NO")
hero-theme-desktop-B,B,08,PASS,PASS,PASS,,,,,=IF(AND(D17="PASS",E17="PASS",F17="PASS"),((G17*0.7)+(H17*0.2)+(I17*0.1))*10,0),=IF(K17>0,"YES","NO")
hero-theme-desktop-C,C,01,PASS,PASS,PASS,,,,,=IF(AND(D18="PASS",E18="PASS",F18="PASS"),((G18*0.7)+(H18*0.2)+(I18*0.1))*10,0),=IF(K18>0,"YES","NO")
hero-theme-desktop-C,C,02,PASS,PASS,PASS,,,,,=IF(AND(D19="PASS",E19="PASS",F19="PASS"),((G19*0.7)+(H19*0.2)+(I19*0.1))*10,0),=IF(K19>0,"YES","NO")
hero-theme-desktop-C,C,03,PASS,PASS,PASS,,,,,=IF(AND(D20="PASS",E20="PASS",F20="PASS"),((G20*0.7)+(H20*0.2)+(I20*0.1))*10,0),=IF(K20>0,"YES","NO")
hero-theme-desktop-C,C,04,PASS,PASS,PASS,,,,,=IF(AND(D21="PASS",E21="PASS",F21="PASS"),((G21*0.7)+(H21*0.2)+(I21*0.1))*10,0),=IF(K21>0,"YES","NO")
hero-theme-desktop-C,C,05,PASS,PASS,PASS,,,,,=IF(AND(D22="PASS",E22="PASS",F22="PASS"),((G22*0.7)+(H22*0.2)+(I22*0.1))*10,0),=IF(K22>0,"YES","NO")
hero-theme-desktop-C,C,06,PASS,PASS,PASS,,,,,=IF(AND(D23="PASS",E23="PASS",F23="PASS"),((G23*0.7)+(H23*0.2)+(I23*0.1))*10,0),=IF(K23>0,"YES","NO")
hero-theme-desktop-C,C,07,PASS,PASS,PASS,,,,,=IF(AND(D24="PASS",E24="PASS",F24="PASS"),((G24*0.7)+(H24*0.2)+(I24*0.1))*10,0),=IF(K24>0,"YES","NO")
hero-theme-desktop-C,C,08,PASS,PASS,PASS,,,,,=IF(AND(D25="PASS",E25="PASS",F25="PASS"),((G25*0.7)+(H25*0.2)+(I25*0.1))*10,0),=IF(K25>0,"YES","NO")
